X,Y
393.0920965881348,126.0255654296875
388.1459950124124,117.4396427507516
382.65222324392676,109.0910530145987
376.49331044397275,101.21914563206417
369.70591685973125,93.87632846089375
362.3445284996763,87.12286573251762
354.4450998413665,80.99268144374466
346.0723795689256,75.53690504463945
337.2679431556606,70.78357351659355
328.1191719570333,66.77855828417303
318.6566285591254,63.533928492577544
308.9565796033102,61.07638543496017
299.11427824520786,59.42364849671909
289.14240221047794,58.57253750924065
279.1503867436444,58.52604697889979
269.17416624785125,59.28480388248538
259.31054227859045,60.852888973600706
249.58931373509674,63.234055450934115
240.10714900296168,66.40968157266812
230.93181320547865,70.35399188535584
222.1060824685859,75.04485119478372
213.695729978992,80.44340906778125
205.7428467457908,86.51905486947452
198.32770814100206,93.20369603259658
191.45993427951868,100.48497842389074
185.21269449474056,108.28544075935116
179.61893122088162,116.56112263430468
174.7053983164569,125.27996947673353
170.52721789591607,134.3518750516247
167.10376084224134,143.74227137308105
164.46339854639302,153.39365358206967
162.63325967237552,163.22175949174772
161.62471226206338,173.16731173617416
161.44302692894252,183.17237238712923
162.08275275031866,193.13921216238083
163.53105585906573,203.0408415130994
159.56498155972363,210.85378632874324
152.21048569610346,217.61242101569695
144.985234913677,224.5411746074176
139.18900000000002,228.50173885250092
139.18633634418302,218.50600585881165
138.71622247852514,208.52577364953478
137.43097526471396,198.60322473256457
135.33843161010745,188.84120184326173
132.44410713780883,179.2722392690865
128.76614610166945,169.96474125275947
124.34260676340294,161.0062107595038
119.20075480358338,152.4395179337697
113.36884803128824,144.30859735292853
106.90718128833728,136.6921536353475
99.83711668899365,129.61284265361496
92.22927446190285,123.1413296728071
84.1063296371174,117.29895907555037
75.54695185495909,112.14608063675385
66.57388862504713,107.70152886116898
57.29359513125171,104.02088355347246
47.72997764396118,101.11397113747297
37.9491264361496,99.00435479395529
28.04208049858799,97.70867692836822
18.052692819200026,97.22571967950087
8.473049221648843,99.55139663204365
1.753697599701584,106.76480961714685
0,116.49316118146292
0,126.49126252790796
0,136.50110611861524
0,146.50511176944923
0,156.50905515641483
0,166.49829814416893
0,176.4957145880615
0,186.50403307363507
0.019695366811938585,196.51063370895582
0.5602364240483149,206.47973187795452
1.8484846476345558,216.400809939136
3.8844781958004457,226.1943711860323
6.655224165834486,235.78289464541615
10.159673820458353,245.15091808446402
14.373560483045878,254.22324470817762
19.271729073018186,262.9478363605104
24.81078434011142,271.2585159988863
25.011832759205138,279.23960253694446
19.438944248107262,287.5548012358724
14.528669391192498,296.24892640581817
10.290979853086174,305.3102258850737
6.762251770146191,314.66854628920277
3.9616841769056634,324.2693429454251
1.9039943698302524,334.0457347902147
0.5921798981082393,343.950482803195
0.02565904216200579,353.93681574043427
0,363.9461997070312
0,373.9324714154397
0,383.94015760299436
0,393.94366544948514
0,403.9379129639942
